TAU (τ),Test Accuracy,Test F1-macro,Số vòng lặp,Tổng pseudo-labels,Val F1 cuối
0.8,0.5940855377601824,0.5166876119048376,10,364388,0.6621471461416577
0.9,0.589046847819567,0.5343258092284096,10,350019,0.6176087490832923
0.95,0.5930658028912483,0.5329857186561676,10,314834,0.5949736989685315
